NOM_ENT,Percepcion_Inseguridad,Tasa_Victimizacion_100k,Poblacion_Estatal
COLIMA,4.94,99810.0,545238.0
BAJA CALIFORNIA SUR,4.41,99945.0,645765.0
BAJA CALIFORNIA,4.2,99775.0,2767916.0
CHIHUAHUA,4.19,99762.0,2802072.0
COAHUILA DE ZARAGOZA,3.91,99960.0,2391437.0
AGUASCALIENTES,3.77,99936.0,1043454.0
QUINTANA ROO,3.76,99990.0,1438582.0
NAYARIT,3.53,99674.0,887220.0
HIDALGO,3.02,99811.0,2287861.0
JALISCO,2.88,99760.0,6304279.0
SONORA,2.87,99849.0,2187433.0
TABASCO,2.84,99948.0,1771236.0
QUERETARO,2.79,99665.0,1843470.0
DURANGO,2.75,99963.0,1319933.0
ZACATECAS,2.67,100000.0,1111477.0
YUCATAN,2.61,99773.0,1758758.0
TAMAULIPAS,2.46,99773.0,2626841.0
CAMPECHE,2.45,99953.0,677240.0
NUEVO LEON,2.43,99985.0,4586708.0
SINALOA,2.42,99868.0,2261349.0
MORELOS,2.4,99919.0,1453641.0
MICHOACAN DE OCAMPO,2.31,99778.0,3449195.0
MEXICO,2.29,100000.0,13111692.0
CIUDAD DE MEXICO,2.21,99831.0,7612099.0
SAN LUIS POTOSI,2.06,99933.0,2071053.0
GUANAJUATO,2.04,99981.0,4473247.0
VERACRUZ DE IGNACIO DE LA LLAVE,2.0,99685.0,5950692.0
GUERRERO,1.96,100000.0,2460097.0
CHIAPAS,1.92,99891.0,3591017.0
OAXACA,1.71,99897.0,2975078.0
PUEBLA,1.7,100000.0,4608157.0
TLAXCALA,1.68,99846.0,1023363.0
