Estado,Fecha,Tasa_Predicha
Aguascalientes,2026-01-01,1.9571714912098257
Aguascalientes,2026-02-01,1.9521293663575705
Aguascalientes,2026-03-01,1.9470872415053153
Aguascalientes,2026-04-01,1.9420451166530601
Aguascalientes,2026-05-01,1.937002991800805
Aguascalientes,2026-06-01,1.9319608669485495
Baja California,2026-01-01,6.4951662852575485
Baja California,2026-02-01,6.54569297795563
Baja California,2026-03-01,6.59621967065371
Baja California,2026-04-01,6.646746363351791
Baja California,2026-05-01,6.697273056049871
Baja California,2026-06-01,6.747799748747952
Baja California Sur,2026-01-01,1.9646732577767057
Baja California Sur,2026-02-01,2.017324368421547
Baja California Sur,2026-03-01,2.069975479066388
Baja California Sur,2026-04-01,2.122626589711229
Baja California Sur,2026-05-01,2.17527770035607
Baja California Sur,2026-06-01,2.2279288110009103
Campeche,2026-01-01,2.4869421847152497
Campeche,2026-02-01,2.485796121677738
Campeche,2026-03-01,2.4846500586402263
Campeche,2026-04-01,2.483503995602714
Campeche,2026-05-01,2.482357932565202
Campeche,2026-06-01,2.48121186952769
Chiapas,2026-01-01,1.8037007240547065
Chiapas,2026-02-01,1.7846851459079938
Chiapas,2026-03-01,1.7656695677612815
Chiapas,2026-04-01,1.7466539896145687
Chiapas,2026-05-01,1.7276384114678565
Chiapas,2026-06-01,1.7086228333211437
Chihuahua,2026-01-01,5.143117581791905
Chihuahua,2026-02-01,5.163249518558876
Chihuahua,2026-03-01,5.183381455325848
Chihuahua,2026-04-01,5.20351339209282
Chihuahua,2026-05-01,5.223645328859792
Chihuahua,2026-06-01,5.243777265626764
Ciudad de México,2026-01-01,2.2356714483981284
Ciudad de México,2026-02-01,2.23641700832986
Ciudad de México,2026-03-01,2.2371625682615917
Ciudad de México,2026-04-01,2.237908128193323
Ciudad de México,2026-05-01,2.2386536881250545
Ciudad de México,2026-06-01,2.2393992480567864
Coahuila de Zaragoza,2026-01-01,1.0157403772456208
Coahuila de Zaragoza,2026-02-01,1.0122989753969507
Coahuila de Zaragoza,2026-03-01,1.0088575735482805
Coahuila de Zaragoza,2026-04-01,1.0054161716996104
Coahuila de Zaragoza,2026-05-01,1.0019747698509405
Coahuila de Zaragoza,2026-06-01,0.9985333680022703
Colima,2026-01-01,12.083239843935033
Colima,2026-02-01,12.161813433689954
Colima,2026-03-01,12.240387023444875
Colima,2026-04-01,12.318960613199797
Colima,2026-05-01,12.39753420295472
Colima,2026-06-01,12.47610779270964
Durango,2026-01-01,1.246157860797258
Durango,2026-02-01,1.254455170689636
Durango,2026-03-01,1.262752480582014
Durango,2026-04-01,1.271049790474392
Durango,2026-05-01,1.2793471003667696
Durango,2026-06-01,1.2876444102591476
Guanajuato,2026-01-01,6.910751440952783
Guanajuato,2026-02-01,6.918365344234776
Guanajuato,2026-03-01,6.92597924751677
Guanajuato,2026-04-01,6.933593150798764
Guanajuato,2026-05-01,6.941207054080758
Guanajuato,2026-06-01,6.94882095736275
Guerrero,2026-01-01,3.1988647385116984
Guerrero,2026-02-01,3.1898605228287593
Guerrero,2026-03-01,3.1808563071458202
Guerrero,2026-04-01,3.171852091462881
Guerrero,2026-05-01,3.162847875779942
